body,event.name,framework.duration_ms,framework.event_id,framework.field.atributos,framework.field.autenticacoes,framework.field.avisos,framework.field.conceitos,framework.field.consistente,framework.field.dados,framework.field.durationMs,framework.field.encaminhamentos,framework.field.encerramento,framework.field.enlaces,framework.field.errosCorrigidos,framework.field.errosSemCorrecao,framework.field.formato,framework.field.hardening,framework.field.host,framework.field.httpStatus,framework.field.ip,framework.field.linhas,framework.field.login,framework.field.metodo,framework.field.naoInterpretadas,framework.field.passos,framework.field.passosSelecao,framework.field.pendencias,framework.field.protecoes,framework.field.protocolo,framework.field.resultado,framework.field.rota,framework.field.roteadores,framework.field.status,framework.field.total,framework.field.traceId,framework.module,framework.status,http.request.method,http.response.status_code,http.route,severity,timeUnixNano,traceId
evento=http_access status=ok durationMs=2 httpStatus=200,http_access,2,effc3c84-62cd-489c-a081-5f38af8267bf,,,,,,,2,,,,,,,,,200,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786717653000000000,38993f24d3274a95888f5a16945ecf9a
evento=http_access status=ok durationMs=46 httpStatus=200,http_access,46,937b45be-fe07-4dea-b296-7d44ab7d0f98,,,,,,,46,,,,,,,,,200,,,,,,,,,,,,,,,,,web,ok,GET,200,/telemetria,INFO,1786717653000000000,cde22b3c0ca0483785e7918a7463ffbd
evento=http_access status=ok durationMs=1972 httpStatus=303,http_access,1972,6506a809-3fb4-4183-aabf-c09e055f16f9,,,,,,,1972,,,,,,,,,303,,,,,,,,,,,,,,,,,web,ok,GET,303,/login/github/callback,INFO,1786717653000000000,636c1a04884e4039bcce2e63853cc74d
evento=login_github status=ok login=carmipa resultado=ok,login_github,,4594508b-fd83-448e-90bc-1245ad547735,,,,,,,,,,,,,,,,,,,carmipa,,,,,,,,ok,,,,,,seguranca,ok,GET,,/login/github/callback,INFO,1786717653000000000,636c1a04884e4039bcce2e63853cc74d
evento=http_access status=ok durationMs=137 httpStatus=303,http_access,139,32bf4587-1b3c-463c-bc48-8e7a7287d47a,,,,,,,137,,,,,,,,,303,,,,,,,,,,,,,,,,,web,ok,GET,303,/login/github,INFO,1786717650000000000,6702cf7adce74081b229bca63a60a257
evento=http_access status=ok durationMs=17 httpStatus=200,http_access,17,a4aa4741-c561-47da-8718-ea12549f4b04,,,,,,,17,,,,,,,,,200,,,,,,,,,,,,,,,,,web,ok,GET,200,/login,INFO,1786717647000000000,f000b4fcf90b4fb1b86192d6cfa6bc49
evento=http_access status=ok durationMs=9 httpStatus=303,http_access,9,e577263e-8fb6-44b2-9ecc-e1d04a97daa0,,,,,,,9,,,,,,,,,303,,,,,,,,,,,,,,,,,web,ok,GET,303,/telemetria,INFO,1786717647000000000,5d4baa07286a4b47ab1660ae581a9732
evento=http_access status=ok durationMs=51 httpStatus=200,http_access,51,e2fa17b6-715e-4cf4-b228-0d5e5bfe0ac5,,,,,,,51,,,,,,,,,200,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786717644000000000,2c05e3ed1d5c4eca9434b79a87341f42
evento=http_access status=ok durationMs=16 httpStatus=200,http_access,16,97e22d52-aa26-4290-885b-2c8fa8f2dc30,,,,,,,16,,,,,,,,,200,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1786717643000000000,c9953c54767c4648adb6e42f4eb39566
evento=http_access status=ok durationMs=11 httpStatus=200,http_access,11,4d33b4b6-53cf-4be2-906e-92de5597236a,,,,,,,11,,,,,,,,,200,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1786716678000000000,dc6a0f9db06d44519c6bbfc875019c18
