body,event.name,framework.duration_ms,framework.event_id,framework.field.atributos,framework.field.autenticacoes,framework.field.avisos,framework.field.conceitos,framework.field.consistente,framework.field.durationMs,framework.field.encaminhamentos,framework.field.enlaces,framework.field.errosCorrigidos,framework.field.errosSemCorrecao,framework.field.hardening,framework.field.httpStatus,framework.field.ip,framework.field.linhas,framework.field.login,framework.field.metodo,framework.field.naoInterpretadas,framework.field.passosSelecao,framework.field.pendencias,framework.field.protecoes,framework.field.protocolo,framework.field.resultado,framework.field.rota,framework.field.roteadores,framework.field.status,framework.field.total,framework.field.traceId,framework.module,framework.status,http.request.method,http.response.status_code,http.route,severity,timeUnixNano,traceId
evento=http_access status=ok durationMs=2 httpStatus=200,http_access,2,d754aa7e-6d86-4f51-8b1e-f2fd39b61557,,,,,,2,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1787147733000000000,4efea7929d3a418a84dbda1bac8bab37
evento=http_access status=ok durationMs=4 httpStatus=200,http_access,4,530c75d7-12a9-4a95-98c5-7c12723b6f57,,,,,,4,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/telemetria,INFO,1787147733000000000,50197eff3333440fa2172342bd2a35d7
evento=http_access status=ok durationMs=1004 httpStatus=303,http_access,1004,1305e1a8-d900-41df-950d-d62cda417646,,,,,,1004,,,,,,303,,,,,,,,,,,,,,,,web,ok,GET,303,/login/github/callback,INFO,1787147733000000000,7e09e7c75cad4ed381926397fa9cfcf4
evento=login_github status=ok login=carmipa resultado=ok,login_github,,1ed9af8b-49d8-44e7-a6e6-e57b81df7559,,,,,,,,,,,,,,,carmipa,,,,,,,ok,,,,,,seguranca,ok,GET,,/login/github/callback,INFO,1787147733000000000,7e09e7c75cad4ed381926397fa9cfcf4
evento=http_access status=ok durationMs=10 httpStatus=303,http_access,10,7aed6c7e-155d-42d4-ba7e-019c07dd9d3e,,,,,,10,,,,,,303,,,,,,,,,,,,,,,,web,ok,GET,303,/login/github,INFO,1787147731000000000,f63d367da8d44a93b2046d170c08ef65
evento=http_access status=ok durationMs=16 httpStatus=200,http_access,16,d3959d35-61d9-446f-8f6d-624b09c7e658,,,,,,16,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/login,INFO,1787147729000000000,c286dfdf0f5842bca347f7746520cf04
evento=http_access status=ok durationMs=10 httpStatus=303,http_access,10,b45b307a-8706-49c9-b983-6278a23d3d5d,,,,,,10,,,,,,303,,,,,,,,,,,,,,,,web,ok,GET,303,/telemetria,INFO,1787147729000000000,c5baead8b98d4d5c966e754df6bdbc69
evento=http_access status=ok durationMs=1 httpStatus=200,http_access,1,59db2736-7418-497f-b463-3130e0baf9d0,,,,,,1,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/mascara-referencia,INFO,1787147727000000000,60b747fc320d4d2e9f22e62339bb027e
evento=http_access status=ok durationMs=14 httpStatus=200,http_access,14,fb1f8878-755e-45b7-be6a-2eff30e36406,,,,,,14,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/mascara-referencia,INFO,1787147727000000000,0e3fc3e1a3b8490087fdd5e15daf5e3b
evento=http_access status=ok durationMs=0 httpStatus=200,http_access,0,8611c9ee-3cae-4401-bd79-59e7d18f95ce,,,,,,0,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1787147727000000000,9fc17790d3cb4569ae84a6e783070a89
evento=http_access status=ok durationMs=52 httpStatus=200,http_access,52,1b190841-b71b-4754-93c7-b45d3d077b6a,,,,,,52,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/analise,INFO,1787147727000000000,ad4a087f5df447b4b1ee84a222c39dec
evento=http_access status=ok durationMs=50 httpStatus=200,http_access,50,3cbf3780-3b36-4b2f-8993-fa1301be0667,,,,,,50,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1787147444000000000,cbbdc3f1c5ea4931a8ffa0f924c3b4c1
evento=http_access status=ok durationMs=179 httpStatus=200,http_access,180,39fc1c8c-e944-4705-b0b4-f00f0dd69158,,,,,,179,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1787147443000000000,1b897b22ee0645c99de5d25f4a167245
evento=http_access status=ok durationMs=1 httpStatus=200,http_access,1,c95bf0eb-17e2-4925-aec3-e9d53cff7278,,,,,,1,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1787079380000000000,077bbd8a07d74391b5785fd310304a76
