body,event.name,framework.duration_ms,framework.event_id,framework.field.ataques,framework.field.atributos,framework.field.autenticacoes,framework.field.checagens,framework.field.ciphers,framework.field.conceitos,framework.field.dados,framework.field.durationMs,framework.field.encaminhamentos,framework.field.encerramento,framework.field.hardening,framework.field.host,framework.field.httpStatus,framework.field.ip,framework.field.login,framework.field.metodo,framework.field.mitigacoes,framework.field.modo,framework.field.passos,framework.field.passosSelecao,framework.field.protecoes,framework.field.protocolo,framework.field.resultado,framework.field.rota,framework.field.status,framework.field.statusCalc,framework.field.tipoServido,framework.field.tipoSolicitado,framework.field.total,framework.field.traceId,framework.field.veredito,framework.module,framework.status,http.request.method,http.response.status_code,http.route,severity,timeUnixNano,traceId
evento=http_access status=ok durationMs=1 httpStatus=200,http_access,1,19b2e9f1-479d-48ee-8d9d-b4cb6f5b5051,,,,,,,,1,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807923000000000,863fa4d7f7024e7a99e3ebe186e1d027
evento=http_access status=ok durationMs=6 httpStatus=200,http_access,6,c7c6c313-ec62-43d5-961f-159729c07acd,,,,,,,,6,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/telemetria,INFO,1788807923000000000,a517dc9338b4413f822e9631aa2f0441
evento=http_access status=ok durationMs=1259 httpStatus=303,http_access,1259,9c70d459-d197-46c0-93f9-b36b2fee470f,,,,,,,,1259,,,,,303,,,,,,,,,,,,,,,,,,,web,ok,GET,303,/login/github/callback,INFO,1788807923000000000,6308a6456dbe49e2a592ee45a4fb59d0
evento=login_github status=ok login=carmipa resultado=ok,login_github,,18ff275b-39c7-445c-95a6-993c5420071b,,,,,,,,,,,,,,,carmipa,,,,,,,,ok,,,,,,,,,seguranca,ok,GET,,/login/github/callback,INFO,1788807922000000000,6308a6456dbe49e2a592ee45a4fb59d0
evento=http_access status=ok durationMs=2 httpStatus=303,http_access,2,a939cf44-c32a-46e3-a5c5-caecb1b743f8,,,,,,,,2,,,,,303,,,,,,,,,,,,,,,,,,,web,ok,GET,303,/login/github,INFO,1788807921000000000,10a005b64c2b4d51a6440852add91d3a
evento=http_access status=ok durationMs=6 httpStatus=200,http_access,6,0157fb30-db43-4acb-83fa-1267352ef107,,,,,,,,6,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/login,INFO,1788807919000000000,24dfb81b08d64894840d6b0d50d564db
evento=http_access status=ok durationMs=2 httpStatus=303,http_access,2,1cf8705c-bc2b-4b36-8113-bce17b276094,,,,,,,,2,,,,,303,,,,,,,,,,,,,,,,,,,web,ok,GET,303,/telemetria,INFO,1788807919000000000,6cf2186f0adb4f3fac021c7bbe1ff17b
evento=http_access status=ok durationMs=2 httpStatus=200,http_access,2,07ab2f2f-ac6a-4737-96b4-0058971ae534,,,,,,,,2,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807918000000000,2f6105bd385849caafcb517ae4b9036f
evento=http_access status=ok durationMs=2 httpStatus=200,http_access,2,e56bb47f-c486-4890-9c48-e9e37b05f655,,,,,,,,2,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/seguranca,INFO,1788807917000000000,95113871b16b4b5aba2d9dd79526a04f
evento=http_access status=ok durationMs=0 httpStatus=200,http_access,0,eb3c1aaf-6547-410c-98f7-dfc6db4adc6c,,,,,,,,0,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807916000000000,daa22ef354e244f29d09d9339ee7dd00
evento=http_access status=ok durationMs=1 httpStatus=200,http_access,1,bdb2d684-0746-43d2-ab20-148e539dccb0,,,,,,,,1,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/diagnostico,INFO,1788807916000000000,120b4dc6b3434e818cb58d533d95290f
evento=http_access status=ok durationMs=3 httpStatus=200,http_access,3,ef9b09e0-ff96-455f-9060-17cb6f9adbd2,,,,,,,,3,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/simuladores/api/anomalia-tcp,INFO,1788807916000000000,94386f159e5141069b6d9ebb0df1d386
evento=http_access status=ok durationMs=2 httpStatus=200,http_access,2,73a29ee2-0920-4b02-b606-e6d2a2970bcf,,,,,,,,2,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/simuladores/api/handshake,INFO,1788807916000000000,76d952abc3404e23b544d8da41e83bdb
evento=handshake status=ok dados=true encerramento=true passos=9,handshake,,cd5713d2-a7b6-4cb3-ba04-810abf4cee64,,,,,,,true,,,true,,,,,,,,,9,,,,,,,,,,,,,simuladores,ok,GET,,/simuladores/api/handshake,INFO,1788807916000000000,76d952abc3404e23b544d8da41e83bdb
evento=anomalia_tcp status=ok passos=7 tipoServido=syn-flood tipoSolicitado=syn-flood,anomalia_tcp,,1eb9ff3a-9b25-4761-aa70-caf05036ba0b,,,,,,,,,,,,,,,,,,,7,,,,,,,,syn-flood,syn-flood,,,,simuladores,ok,GET,,/simuladores/api/anomalia-tcp,INFO,1788807916000000000,94386f159e5141069b6d9ebb0df1d386
evento=http_access status=ok durationMs=1 httpStatus=200,http_access,1,76f5a360-c432-4694-83b9-c367cf3acb35,,,,,,,,1,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807916000000000,0c4d127b5c6547d980eb48a1ac398c9b
