body,event.name,framework.duration_ms,framework.event_id,framework.field.ataques,framework.field.autenticacoes,framework.field.blocos,framework.field.campos,framework.field.checagens,framework.field.ciphers,framework.field.conceitos,framework.field.dados,framework.field.durationMs,framework.field.encaminhamentos,framework.field.encerramento,framework.field.enderecos,framework.field.estrategia,framework.field.exibidos,framework.field.extras,framework.field.formatos,framework.field.hardening,framework.field.host,framework.field.httpStatus,framework.field.ip,framework.field.login,framework.field.mitigacoes,framework.field.pagina,framework.field.passos,framework.field.prefixoAlvo,framework.field.prefixoBase,framework.field.prefixoResumo,framework.field.prefixoVlan,framework.field.protocolo,framework.field.redes,framework.field.resultado,framework.field.status,framework.field.tabelas,framework.field.tipoServido,framework.field.tipoSolicitado,framework.field.tipos,framework.field.total,framework.field.totalSubredes,framework.field.truncado,framework.field.veredito,framework.field.vlans,framework.module,framework.status,http.request.method,http.response.status_code,http.route,severity,timeUnixNano,traceId
evento=http_access status=ok durationMs=1 httpStatus=200,http_access,1,7251e977-c130-4189-9fa5-edbc72efcd5a,,,,,,,,,1,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788834015000000000,4d08ef5ff7434e5085ac3299e4d6dd49
evento=http_access status=ok durationMs=12 httpStatus=200,http_access,12,2b64679b-86e3-4e9d-a93c-b5178e8701f1,,,,,,,,,12,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/telemetria,INFO,1788834015000000000,dffd5b40aa4e44688eb0d7d24247fb69
evento=http_access status=ok durationMs=980 httpStatus=303,http_access,980,9815e7be-bdad-40f9-b470-3ed25943d629,,,,,,,,,980,,,,,,,,,,303,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,303,/login/github/callback,INFO,1788834015000000000,60a58dbfd7534e37b7372b342b118c28
evento=login_github status=ok login=carmipa resultado=ok,login_github,,e1891aa7-8808-411a-8c3b-cb01190a9356,,,,,,,,,,,,,,,,,,,,,carmipa,,,,,,,,,,ok,,,,,,,,,,,seguranca,ok,GET,,/login/github/callback,INFO,1788834015000000000,60a58dbfd7534e37b7372b342b118c28
evento=http_access status=ok durationMs=6 httpStatus=303,http_access,6,600c9e88-6339-4791-bb74-76f3905122e6,,,,,,,,,6,,,,,,,,,,303,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,303,/login/github,INFO,1788834014000000000,76cb3d956a1d414aad5915448b486bc5
evento=http_access status=ok durationMs=11 httpStatus=200,http_access,11,2462bf5e-38fc-4a54-8fa9-84c456b2c2c3,,,,,,,,,11,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/login,INFO,1788834012000000000,39cb39cfa1f34d7e9f6c20041dd7b060
evento=http_access status=ok durationMs=14 httpStatus=303,http_access,14,1be397f5-19e0-4679-ad05-a8b5f79da237,,,,,,,,,14,,,,,,,,,,303,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,303,/telemetria,INFO,1788834012000000000,17aff1852f1b463893c4f41b1b7433f9
evento=http_access status=ok durationMs=2 httpStatus=200,http_access,2,c17cf150-d00e-49d3-8aae-0196ad7c7afe,,,,,,,,,2,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788834008000000000,e3ec20837f8148669615edaadeb283bc
evento=http_access status=ok durationMs=9 httpStatus=200,http_access,9,3ad306ce-88dd-4f57-a323-710c008afe96,,,,,,,,,9,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/seguranca,INFO,1788834008000000000,a19dee395fd44bb5a6bcc669d49e0c76
evento=http_access status=ok durationMs=2 httpStatus=200,http_access,2,0e262a27-c05c-4948-98b7-fcfe2cff3f73,,,,,,,,,2,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788834006000000000,e4162336392a4ddd87801cdd4748f241
evento=http_access status=ok durationMs=24 httpStatus=200,http_access,24,bfb50197-ee3e-45aa-ab35-218bbf22d877,,,,,,,,,24,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/diagnostico,INFO,1788834006000000000,84cbf6ed0ed9453bbec918259649cb6e
